X,Y,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,month_sin,month_cos,day_sin,day_cos,area_log,temp_RH_ratio,fire_spread_potential,FWI_total,drought_wind
7,5,86.2,26.2,94.3,5.1,8.2,51,6.7,0.0,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.0,0.1576923076923077,34.17,206.7,631.81
7,4,90.6,35.4,669.1,6.7,18.0,33,0.9,0.0,0.0,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.0,0.5294117647058824,6.03,795.1,602.19
7,4,90.6,43.7,686.9,6.7,14.6,33,1.3,0.0,0.0,-0.8660254037844386,0.5000000000000001,-0.9749279121818236,-0.2225209339563146,0.0,0.4294117647058823,8.71,821.2,892.97
8,6,91.7,33.3,77.5,9.0,8.3,97,4.0,0.0,0.0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.0,0.08469387755102041,36.0,202.5,310.0
8,6,89.3,51.3,102.2,9.6,11.4,99,1.8,0.0,0.0,1.0,6.123233995736766e-17,-0.7818314824680299,0.6234898018587334,0.0,0.114,17.28,242.8,183.96
8,6,92.3,85.3,488.0,14.7,22.2,29,5.4,0.0,0.0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.0,0.74,79.38,665.6,2635.2000000000003
8,6,92.3,88.9,495.6,8.5,24.1,27,3.1,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.0,0.8607142857142858,26.35,676.8,1536.3600000000001
8,6,91.5,145.4,608.2,10.7,8.0,86,2.2,0.0,0.0,-0.8660254037844385,-0.5000000000000004,0.0,1.0,0.0,0.09195402298850575,23.54,845.1,1338.0400000000002
8,6,91.0,129.5,692.6,7.0,13.1,63,5.4,0.0,0.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.0,0.2046875,37.800000000000004,913.1,3740.0400000000004
7,5,92.5,88.0,698.6,7.1,22.8,40,4.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.0,0.5560975609756098,28.4,879.1,2794.4
7,5,92.5,88.0,698.6,7.1,17.8,51,7.2,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.0,0.3423076923076923,51.12,879.1,5029.92
7,5,92.8,73.2,713.0,22.6,19.3,38,4.0,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.0,0.4948717948717949,90.4,879.0,2852.0
6,5,82.1,70.8,665.3,0.8,17.0,72,6.7,0.0,0.0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.0,0.2328767123287671,5.36,818.1999999999999,4457.51
6,5,90.9,126.5,686.5,7.0,21.3,42,2.2,0.0,0.0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0,0.49534883720930234,15.400000000000002,903.9,1510.3000000000002
6,5,92.9,133.3,699.6,9.2,26.4,21,4.5,0.0,0.0,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,0.0,1.2,41.4,925.8000000000001,3148.2000000000003
6,5,93.3,141.2,713.9,13.9,22.9,44,5.4,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.0,0.5088888888888888,75.06,948.4,3855.06
5,5,91.7,35.8,80.8,7.8,15.1,27,5.4,0.0,0.0,1.0,6.123233995736766e-17,-0.9749279121818236,-0.2225209339563146,0.0,0.5392857142857143,42.120000000000005,208.3,436.32
8,5,84.9,32.8,664.2,3.0,16.7,47,4.9,0.0,0.0,-0.8660254037844386,0.5000000000000001,0.0,1.0,0.0,0.34791666666666665,14.700000000000001,781.9000000000001,3254.5800000000004
6,4,89.2,27.9,70.8,6.3,15.9,35,4.0,0.0,0.0,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,0.0,0.44166666666666665,25.2,187.89999999999998,283.2
6,4,86.3,27.4,97.1,5.1,9.3,44,4.5,0.0,0.0,0.8660254037844387,-0.4999999999999998,-0.9749279121818236,-0.2225209339563146,0.0,0.2066666666666667,22.95,210.79999999999998,436.95
6,4,91.0,129.5,692.6,7.0,18.3,40,2.7,0.0,0.0,-1.0,-1.8369701987210297e-16,0.7818314824680298,0.6234898018587336,0.0,0.44634146341463415,18.900000000000002,913.1,1870.0200000000002
5,4,91.8,78.5,724.3,9.2,19.1,38,2.7,0.0,0.0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0,0.4897435897435898,24.84,894.5999999999999,1955.61
7,4,94.3,96.3,200.0,23.700000000000003,21.0,44,4.5,0.0,0.0,1.2246467991473532e-16,-1.0,-0.7818314824680299,0.6234898018587334,0.0,0.4666666666666667,106.65,390.6,900.0
7,4,90.2,110.9,537.4,6.2,19.5,43,5.8,0.0,0.0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0.0,0.4431818181818182,35.96,738.5,3116.9199999999996
7,4,93.5,139.4,594.2,20.3,23.7,32,5.8,0.0,0.0,-0.8660254037844385,-0.5000000000000004,-0.9749279121818236,-0.2225209339563146,0.0,0.7181818181818181,117.74,827.1,3446.36
7,4,91.4,142.4,601.4,10.6,16.3,60,5.4,0.0,0.0,-0.8660254037844385,-0.5000000000000004,-0.7818314824680299,0.6234898018587334,0.0,0.26721311475409837,57.24,835.2,3247.56
7,4,92.4,117.9,668.0,12.2,19.0,34,5.8,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.0,0.5428571428571428,70.75999999999999,878.3,3874.4
7,4,90.9,126.5,686.5,7.0,19.4,48,1.3,0.0,0.0,-1.0,-1.8369701987210297e-16,0.0,1.0,0.0,0.39591836734693875,9.1,903.9,892.45
6,3,93.4,145.4,721.4,8.1,30.2,24,2.7,0.0,0.0,-1.0,-1.8369701987210297e-16,-0.9749279121818236,-0.2225209339563146,0.0,1.208,21.87,960.2,1947.78
