Feature,Random Forest,MLP,Transformer
drought_wind,0.07219213648318848,0.024898562535853895,0.0027322804486161678
X,0.07201644416894096,0.10384675283293213,0.005959920776680124
DMC,0.06150807922650504,0.05211074266749055,0.0026275798894899115
temp,0.05966733424549378,0.053655963789748656,0.0037860747404564504
FWI_total,0.05642064979542841,0.07396407548532542,0.002784907151026525
RH,0.04332848511752595,0.020787416835731647,0.0017771876564268805
temp_RH_ratio,0.03851255234666521,0.042309521104573145,0.0020206049628411923
fire_spread_potential,0.03313538395422823,0.030891132321209085,0.0027102652486981206
DC,0.03287206411070113,0.012268961402189043,0.0050099010119508455
FFMC,0.030988720521975512,0.01553744395512836,0.0033013463969032908
ISI,0.030718130608951375,0.04600803414803836,0.0021866899149224875
month_sin,0.029881317016372668,0.011023658056019198,0.00487185431285086
Y,0.021506343747951365,0.0509400574736052,0.0051080301752919385
wind,0.01971666981100575,0.043397802195977206,0.0020190700462263097
day_sin,0.01952062353105378,0.03767569959197731,0.003215030805504358
month_cos,0.016564583137192616,0.09362662519291709,0.00550440423555814
day_cos,0.010436195950827365,0.03859973757363264,0.0054484744054855636
rain,0.0,0.0,0.0
